ts,BrainRegions,value
1,brain1,102.48357076505616
2,brain1,99.30867849414408
3,brain1,103.23844269050346
4,brain1,107.61514928204012
5,brain1,98.82923312638331
6,brain1,98.8293152152541
7,brain1,107.89606407753696
8,brain1,103.83717364576455
9,brain1,97.65262807032524
10,brain1,102.71280021792982
11,brain1,97.68291153593769
12,brain1,97.67135123214871
13,brain1,101.20981135783018
14,brain1,90.43359877671101
15,brain1,91.37541083743484
16,brain1,97.18856235379513
17,brain1,94.93584439832789
18,brain1,101.57123666297637
19,brain1,95.45987962239394
20,brain1,92.93848149332354
21,brain1,107.32824384460777
22,brain1,98.87111849756732
23,brain1,100.33764102343962
24,brain1,92.87625906893271
25,brain1,97.27808637737408
26,brain1,100.55461294854933
27,brain1,94.24503211288848
28,brain1,101.87849009172837
29,brain1,96.99680655040598
30,brain1,98.54153125103362
31,brain1,96.99146693885301
32,brain1,109.26139092254469
33,brain1,99.93251387631032
34,brain1,94.71144535522049
35,brain1,104.11272456051594
36,brain1,93.89578175014489
37,brain1,101.04431797502377
38,brain1,90.20164938060113
39,brain1,93.35906975550785
40,brain1,100.98430617934562
41,brain1,103.69233289997705
42,brain1,100.85684140594985
43,brain1,99.4217585880588
44,brain1,98.49448152205356
45,brain1,92.60739004816287
46,brain1,96.40077895802645
47,brain1,97.69680614520107
48,brain1,105.28561113109458
49,brain1,101.71809144784231
50,brain1,91.18479922318633
51,brain1,101.62041984697397
52,brain1,98.07458859791842
53,brain1,96.6153899984702
54,brain1,103.05838144420434
55,brain1,105.15499761247976
56,brain1,104.65640059558099
57,brain1,95.80391238388681
58,brain1,98.45393812074393
59,brain1,101.65631715701782
60,brain1,104.8777256356118
61,brain1,97.60412881077355
62,brain1,99.07170511668092
63,brain1,94.46832512996986
64,brain1,94.01896687959665
65,brain1,104.06262911197099
66,brain1,106.78120014285412
67,brain1,99.63994939209833
68,brain1,105.01766448946012
69,brain1,101.80818012523817
70,brain1,96.77440122697438
71,brain1,101.80697802754207
72,brain1,107.69018283232984
73,brain1,99.82086980445024
74,brain1,107.82321827907003
75,brain1,86.90127447955128
76,brain1,104.10951252187611
77,brain1,100.43523534119086
78,brain1,98.50496324767066
79,brain1,100.45880388267751
80,brain1,90.06215542699553
81,brain1,98.90164056081244
82,brain1,101.78556285755873
83,brain1,107.38947022370758
84,brain1,97.40864890863176
85,brain1,95.95753198553406
86,brain1,97.49121478207732
87,brain1,104.57701058851038
88,brain1,101.64375554829843
89,brain1,97.3511989811648
90,brain1,102.56633716556678
91,brain1,100.4853877467402
92,brain1,104.84322495266444
93,brain1,96.48973453061323
94,brain1,98.36168926701116
95,brain1,98.0394592343392
96,brain1,92.68242525933941
97,brain1,101.48060138532288
98,brain1,101.30527636089944
99,brain1,100.02556728321231
100,brain1,98.82706433312427
101,brain1,92.92314628974793
102,brain1,97.89677338617321
103,brain1,98.28642741736616
104,brain1,95.9886136538919
105,brain1,99.19357144166996
106,brain1,102.02025428407269
107,brain1,109.43092950605265
108,brain1,100.8728890641592
109,brain1,101.28775195361382
110,brain1,99.62777042116916
111,brain1,90.4061439235048
112,brain1,99.86743062275391
113,brain1,100.30115104970513
114,brain1,112.31621056242643
115,brain1,99.03819517609439
116,brain1,101.50773671166806
117,brain1,99.82644115147379
118,brain1,94.15660981190234
119,brain1,105.7141140725751
120,brain1,103.75966516343387
121,brain1,103.95515973521523
122,brain1,95.4530627260263
123,brain1,107.0139715546805
124,brain1,92.9907446860386
125,brain1,102.93428546900135
126,brain1,110.95227812904989
127,brain1,95.04731837434656
128,brain1,97.16851135198614
129,brain1,100.4982568254382
